time=2024-08-27,open=1.00160000000000000000,high=1.7612,low=1.0016,close=1.76120000000000000000,volume=2522854
time=2024-08-28,open=1.76120000000000000000,high=1.76120000000000000000,low=1.76120000000000000000,close=1.76120000000000000000,volume=0
time=2024-08-29,open=1.76120000000000000000,high=1.76120000000000000000,low=1.76120000000000000000,close=1.76120000000000000000,volume=0
time=2024-08-30,open=1.76120000000000000000,high=1.76120000000000000000,low=1.76120000000000000000,close=1.76120000000000000000,volume=0
time=2024-08-31,open=1.76120000000000000000,high=1.76120000000000000000,low=1.76120000000000000000,close=1.76120000000000000000,volume=0
time=2024-09-01,open=1.76120000000000000000,high=1.76120000000000000000,low=1.76120000000000000000,close=1.76120000000000000000,volume=0
time=2024-09-02,open=1.76120000000000000000,high=1.76120000000000000000,low=1.76120000000000000000,close=1.76120000000000000000,volume=0
time=2024-09-03,open=1.76120000000000000000,high=1.76120000000000000000,low=1.76120000000000000000,close=1.76120000000000000000,volume=0
time=2024-09-04,open=1.76120000000000000000,high=1.8066,low=1.7612,close=1.80660000000000000000,volume=181248
time=2024-09-05,open=1.81080000000000000000,high=1.8108,low=1.8108,close=1.81080000000000000000,volume=6000
time=2024-09-06,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-07,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-08,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-09,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-10,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-11,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-12,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-13,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-14,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-15,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-16,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-17,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-18,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-19,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-20,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-21,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-22,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-23,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-24,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-25,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-26,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-27,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-28,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-29,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-09-30,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-01,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-02,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-03,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-04,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-05,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-06,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-07,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-08,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-09,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-10,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-11,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-12,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-13,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-14,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-15,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-16,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-17,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-18,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-19,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-20,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-21,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-22,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
